wavenumber,k1,k2,k3
225.63,1.7867,0.033175,0.05785
227.56,1.7165,0.037042,0.059175
229.49,1.5942,0.041734,0.060504
231.42,1.439,0.047487,0.061836
233.35,1.2678,0.054623,0.063171
235.28,1.0938,0.063588,0.064511
237.21,0.92618,0.075018,0.065858
239.13,0.77055,0.089849,0.067215
241.06,0.62872,0.10942,0.068586
242.99,0.50029,0.13452,0.069975
244.92,0.39519,0.15377,0.071388
246.85,0.33378,0.14448,0.072831
248.78,0.2958,0.12437,0.074311
250.7,0.26707,0.10533,0.075837
252.63,0.24352,0.089462,0.077416
254.56,0.22359,0.076715,0.079057
256.49,0.20651,0.066596,0.080771
258.42,0.19176,0.058585,0.082566
260.35,0.17901,0.052239,0.084454
262.28,0.16796,0.0472,0.086445
264.2,0.15839,0.04319,0.088551
266.13,0.15012,0.039994,0.090785
268.06,0.14298,0.037447,0.09316
269.99,0.13685,0.035423,0.095689
271.92,0.1316,0.033824,0.098388
273.85,0.12713,0.032574,0.10127
275.78,0.12337,0.031617,0.10436
277.7,0.12025,0.030906,0.10767
279.63,0.11771,0.030407,0.11123
281.56,0.11569,0.030092,0.11505
283.49,0.11416,0.02994,0.11917
285.42,0.11308,0.029936,0.12361
287.35,0.11242,0.030068,0.1284
289.27,0.11216,0.030327,0.13359
291.2,0.11229,0.030708,0.1392
293.13,0.11278,0.031207,0.1453
295.06,0.11364,0.031825,0.15192
296.99,0.11486,0.032563,0.15914
298.92,0.11644,0.033424,0.16701
300.85,0.11839,0.034414,0.17562
302.77,0.12071,0.035542,0.18506
304.7,0.12342,0.036818,0.19543
306.63,0.12654,0.038256,0.20686
308.56,0.13009,0.039873,0.21949
310.49,0.13411,0.041688,0.23348
312.42,0.13863,0.043726,0.24904
314.35,0.1437,0.046018,0.26641
316.27,0.14938,0.048599,0.28584
318.2,0.15574,0.051514,0.30769
320.13,0.16285,0.054815,0.33234
322.06,0.17083,0.058569,0.36027
323.99,0.17979,0.062853,0.39206
325.92,0.18987,0.067765,0.42838
327.84,0.20126,0.073422,0.47008
329.77,0.21415,0.079969,0.51815
331.7,0.22881,0.08758,0.57376
333.63,0.24551,0.096467,0.63829
335.56,0.26457,0.10688,0.71328
337.49,0.28633,0.11911,0.80038
339.42,0.31111,0.13345,0.90113
341.34,0.33912,0.15022,1.0167
343.27,0.37039,0.16962,1.1471
345.2,0.40455,0.19164,1.2906
347.13,0.44084,0.21583,1.4424
349.06,0.47816,0.24101,1.5944
350.99,0.51568,0.26517,1.7354
352.92,0.55378,0.28555,1.8537
354.84,0.59498,0.29946,1.9416
356.77,0.644,0.30515,2.0004
358.7,0.70664,0.3023,2.0448
