wavenumber,n1,n2,n3
225.63,2.8287,1.9402,2.9124
227.56,2.5808,1.9444,2.9213
229.49,2.3713,1.9489,2.9304
231.42,2.2087,1.9535,2.9397
233.35,2.0934,1.9581,2.9491
235.28,2.0215,1.9625,2.9587
237.21,1.987,1.9662,2.9686
239.13,1.9826,1.9682,2.9785
241.06,2.0025,1.9665,2.9887
242.99,2.0454,1.955,2.999
244.92,2.1171,1.9222,3.0095
246.85,2.1952,1.8864,3.0202
248.78,2.2572,1.8677,3.031
250.7,2.3074,1.8601,3.0421
252.63,2.3502,1.8586,3.0533
254.56,2.3879,1.8604,3.0647
256.49,2.4219,1.8639,3.0763
258.42,2.4532,1.8684,3.0881
260.35,2.4822,1.8733,3.1001
262.28,2.5094,1.8784,3.1124
264.2,2.5351,1.8835,3.1249
266.13,2.5595,1.8885,3.1377
268.06,2.5828,1.8935,3.1508
269.99,2.6052,1.8984,3.1641
271.92,2.6269,1.9032,3.1778
273.85,2.6478,1.908,3.1918
275.78,2.6682,1.9127,3.2062
277.7,2.6882,1.9173,3.221
279.63,2.7077,1.9219,3.2362
281.56,2.727,1.9264,3.2518
283.49,2.746,1.931,3.268
285.42,2.7649,1.9355,3.2847
287.35,2.7837,1.9401,3.3019
289.27,2.8024,1.9447,3.3198
291.2,2.8211,1.9494,3.3383
293.13,2.8399,1.9542,3.3575
295.06,2.8589,1.959,3.3775
296.99,2.878,1.9639,3.3984
298.92,2.8973,1.9689,3.4201
300.85,2.9169,1.974,3.4428
302.77,2.9368,1.9793,3.4666
304.7,2.9571,1.9847,3.4914
306.63,2.9778,1.9903,3.5175
308.56,2.9989,1.9961,3.545
310.49,3.0206,2.002,3.5738
312.42,3.0429,2.0082,3.6042
314.35,3.0658,2.0146,3.6363
316.27,3.0894,2.0213,3.6702
318.2,3.1138,2.0282,3.706
320.13,3.139,2.0354,3.7438
322.06,3.165,2.0429,3.7838
323.99,3.192,2.0508,3.826
325.92,3.2199,2.0589,3.8705
327.84,3.2489,2.0674,3.9173
329.77,3.2789,2.0762,3.9661
331.7,3.31,2.0853,4.0166
333.63,3.342,2.0946,4.0682
335.56,3.375,2.1039,4.1198
337.49,3.4085,2.113,4.1697
339.42,3.4424,2.1216,4.2154
341.34,3.4761,2.1291,4.2534
343.27,3.509,2.1347,4.279
345.2,3.5405,2.1375,4.2864
347.13,3.5701,2.136,4.2701
349.06,3.5983,2.1288,4.2257
350.99,3.6264,2.1151,4.1535
352.92,3.6568,2.0948,4.0599
354.84,3.6918,2.0693,3.9592
356.77,3.7321,2.0415,3.8705
358.7,3.7746,2.0143,3.813
360.63,3.8107,1.9908,3.797
362.56,3.8293,1.9732,3.8084
364.49,3.8303,1.9629,3.7839
366.41,3.8281,1.9604,3.6249
368.34,3.8317,1.9646,3.301
370.27,3.8377,1.9739,2.9169
372.2,3.8374,1.9863,2.606
374.13,3.8213,2.0002,2.4259
376.06,3.78,2.014,2.3724
377.99,3.7055,2.0266,2.4147
379.91,3.5936,2.0383,2.5063
381.84,3.4489,2.0503,2.5846
383.77,3.2884,2.0631,2.5773
385.7,3.1173,2.0758,2.4529
387.63,2.9303,2.0858,2.2536
389.56,2.7447,2.0901,2.0471
391.49,2.5831,2.0852,1.8817
393.41,2.4611,2.0685,1.7667
395.34,2.3819,2.0408,1.6881
397.27,2.3296,2.0097,1.6313
399.2,2.2803,1.985,1.5872
401.13,2.2243,1.9721,1.546
403.06,2.1745,1.9698,1.4951
404.98,2.1483,1.9746,1.4289
406.91,2.1505,1.983,1.3561
408.84,2.1761,1.9924,1.29
410.77,2.2158,2.0018,1.2402
412.7,2.2587,2.0115,1.2109
414.63,2.2921,2.0222,1.2019
416.56,2.3034,2.0345,1.2096
418.48,2.283,2.0481,1.2265
420.41,2.2296,2.0623,1.242
422.34,2.1535,2.0762,1.2444
424.27,2.072,2.0894,1.2259
426.2,1.998,2.1016,1.1878
428.13,1.9355,2.1132,1.1391
430.05,1.8833,2.1251,1.0896
431.98,1.8402,2.1383,1.0449
433.91,1.807,2.1538,1.0067
435.84,1.7862,2.1721,0.97461
437.77,1.779,2.1929,0.94864
439.7,1.7845,2.2161,0.93
441.63,1.7997,2.2413,0.92048
443.55,1.8213,2.2681,0.92138
445.48,1.8465,2.2962,0.9329
447.41,1.8734,2.3252,0.95403
449.34,1.9008,2.3546,0.98278
451.27,1.928,2.3839,1.0166
453.2,1.9548,2.413,1.0526
455.13,1.9808,2.4415,1.0886
457.05,2.0062,2.4692,1.1222
458.98,2.0309,2.496,1.1518
460.91,2.055,2.522,1.1762
462.84,2.0785,2.5471,1.1944
464.77,2.1016,2.5715,1.2061
466.7,2.1242,2.5955,1.2118
468.62,2.1466,2.6194,1.2128
470.55,2.1688,2.6435,1.2112
472.48,2.1908,2.668,1.2093
474.41,2.2128,2.693,1.2091
476.34,2.2347,2.7185,1.2121
478.27,2.2568,2.7446,1.2188
480.2,2.2789,2.7713,1.2293
482.12,2.3011,2.7984,1.243
484.05,2.3237,2.8261,1.2593
485.98,2.3465,2.8543,1.2774
487.91,2.3696,2.8831,1.2967
489.84,2.3933,2.9125,1.3166
491.77,2.4174,2.9425,1.3368
493.7,2.4422,2.9732,1.357
495.62,2.4677,3.0048,1.3771
497.55,2.4941,3.0373,1.397
499.48,2.5215,3.0708,1.4165
501.41,2.5499,3.1055,1.4358
503.34,2.5798,3.1416,1.4548
505.27,2.6111,3.1791,1.4736
507.19,2.6442,3.2183,1.4922
509.12,2.6793,3.2594,1.5107
511.05,2.7167,3.3027,1.5292
512.98,2.757,3.3485,1.5479
514.91,2.8005,3.3972,1.5667
516.84,2.848,3.4492,1.5858
518.77,2.9001,3.5049,1.6054
520.69,2.9578,3.565,1.6257
522.62,3.0225,3.6298,1.6468
524.55,3.0961,3.6992,1.669
526.48,3.1817,3.7714,1.6926
528.41,3.2854,3.8395,1.7177
530.34,3.4236,3.8793,1.7449
532.27,3.66,3.8012,1.7746
534.19,3.7988,3.7346,1.807
536.12,3.909,3.5023,1.8427
538.05,4.0226,3.0362,1.882
539.98,4.1431,2.4973,1.925
541.91,4.2724,2.069,1.9728
543.84,4.4115,1.782,2.0386
545.76,4.5597,1.4989,2.2248
547.69,4.7146,1.328,2.3689
549.62,4.8756,1.2752,2.4077
551.55,5.0506,1.2799,2.3743
553.48,5.2464,1.3083,2.3325
555.41,5.4508,1.3441,2.3296
557.34,5.6272,1.3792,2.361
559.26,5.704,1.408,2.4018
561.19,5.5672,1.4249,2.4326
563.12,5.11,1.4251,2.4489
565.05,4.3694,1.4097,2.4637
566.98,3.5504,1.3907,2.4917
568.91,2.8345,1.3816,2.5332
570.84,2.2778,1.3855,2.581
572.76,1.8626,1.3984,2.629
574.69,1.5547,1.4156,2.6732
576.62,1.3239,1.4341,2.7114
578.55,1.1482,1.4524,2.7422
580.48,1.0123,1.4699,2.7643
582.41,0.90556,1.4864,2.7769
584.33,0.82064,1.5018,2.7798
586.26,0.75242,1.5162,2.7732
588.19,0.69727,1.5297,2.7586
590.12,0.65257,1.5425,2.7383
592.05,0.61646,1.5546,2.7161
593.98,0.5876,1.566,2.6964
595.91,0.56501,1.577,2.6838
597.83,0.54801,1.5875,2.683
599.76,0.53611,1.5975,2.6975
601.69,0.52894,1.6072,2.7299
603.62,0.52626,1.6167,2.7808
605.55,0.52789,1.6258,2.8487
607.48,0.53376,1.6348,2.9289
609.41,0.54389,1.6436,3.0118
611.33,0.55843,1.6524,3.0801
613.26,0.57759,1.661,3.105
615.19,0.60164,1.6696,3.048
617.12,0.63079,1.6781,2.8772
619.05,0.66506,1.6866,2.5986
620.98,0.70418,1.6952,2.2652
622.9,0.74743,1.7037,1.9412
624.83,0.7937,1.7122,1.6652
626.76,0.84167,1.7208,1.4464
628.69,0.89,1.7295,1.2791
630.62,0.9376,1.7382,1.1532
632.55,0.98364,1.7471,1.0596
634.48,1.0276,1.756,0.99113
636.4,1.0692,1.7651,0.94259
638.33,1.1082,1.7743,0.91044
640.26,1.1448,1.7837,0.89231
642.19,1.1789,1.7933,0.88671
644.12,1.2105,1.8031,0.89269
646.05,1.2399,1.8132,0.90954
647.98,1.2671,1.8234,0.93649
649.9,1.2922,1.834,0.97234
651.83,1.3154,1.8448,1.0154
653.76,1.3368,1.8559,1.0634
655.69,1.3565,1.8674,1.1141
657.62,1.3749,1.8792,1.1655
659.55,1.3925,1.8915,1.2155
661.47,1.4115,1.9041,1.2613
663.4,1.4346,1.9172,1.2995
665.33,1.4602,1.9308,1.3316
667.26,1.4847,1.9449,1.3614
669.19,1.5066,1.9596,1.3902
671.12,1.5259,1.9749,1.4184
673.05,1.5427,1.9908,1.4459
674.97,1.5571,2.0073,1.473
676.9,1.5689,2.0244,1.5
678.83,1.578,2.042,1.5273
680.76,1.5836,2.0601,1.5558
682.69,1.5853,2.0784,1.586
684.62,1.5866,2.0967,1.6149
686.54,1.5903,2.1147,1.6397
688.47,1.5957,2.1322,1.6613
690.4,1.602,2.1488,1.6808
692.33,1.6085,2.164,1.6986
694.26,1.6151,2.1774,1.7152
696.19,1.6213,2.1888,1.7308
698.12,1.6268,2.1978,1.7456
700.04,1.6315,2.2043,1.7598
701.97,1.6349,2.2084,1.7733
703.9,1.6368,2.2104,1.7864
705.83,1.637,2.211,1.799
707.76,1.6353,2.2108,1.8111
709.69,1.632,2.2108,1.8228
711.62,1.6274,2.2118,1.834
713.54,1.6223,2.2142,1.8446
715.47,1.6172,2.2182,1.8546
717.4,1.613,2.2238,1.864
719.33,1.6102,2.2305,1.8727
721.26,1.609,2.2378,1.8807
723.19,1.6093,2.245,1.8881
725.11,1.6107,2.2511,1.8952
727.04,1.6126,2.2547,1.9022
728.97,1.6144,2.2544,1.9094
730.9,1.6154,2.2487,1.9172
732.83,1.6151,2.2368,1.9258
734.76,1.6131,2.2191,1.9354
736.69,1.609,2.1984,1.9457
738.61,1.6032,2.1787,1.9566
740.54,1.5967,2.1641,1.9678
742.47,1.591,2.1573,1.9787
744.4,1.5883,2.1576,1.9887
746.33,1.589,2.1614,1.9974
748.26,1.5909,2.1618,2.0046
750.19,1.5875,2.1525,2.0117
752.11,1.573,2.1376,2.0212
754.04,1.553,2.1283,2.034
755.97,1.5393,2.125,2.0489
757.9,1.5358,2.1205,2.0643
759.83,1.5397,2.1095,2.0796
761.76,1.5477,2.0892,2.0947
763.68,1.5577,2.0593,2.1096
765.61,1.5685,2.0214,2.1243
767.54,1.5794,1.9787,2.1389
769.47,1.59,1.9355,2.1536
771.4,1.6001,1.896,2.1682
773.33,1.6093,1.8638,2.1828
775.26,1.6173,1.8411,2.1975
777.18,1.6237,1.8288,2.2121
779.11,1.6281,1.827,2.2267
781.04,1.6301,1.8346,2.2412
782.97,1.6304,1.8496,2.2555
784.9,1.6303,1.8692,2.2696
786.83,1.6311,1.8907,2.2833
788.76,1.6334,1.9125,2.2966
790.68,1.6372,1.9336,2.3093
792.61,1.642,1.9537,2.3213
794.54,1.6474,1.973,2.3327
796.47,1.653,1.9913,2.3435
798.4,1.6586,2.0087,2.354
800.33,1.6643,2.0255,2.3646
802.25,1.6699,2.0419,2.3755
804.18,1.6758,2.058,2.3871
806.11,1.682,2.0741,2.3995
808.04,1.6886,2.0902,2.4127
809.97,1.6958,2.1064,2.4266
811.9,1.7034,2.1227,2.4412
813.83,1.7114,2.1391,2.4564
815.75,1.7197,2.1556,2.4721
817.68,1.7283,2.1721,2.4881
819.61,1.737,2.1887,2.5044
821.54,1.7459,2.2054,2.521
823.47,1.7549,2.2221,2.5378
825.4,1.7639,2.2389,2.5549
827.33,1.7729,2.2558,2.5723
829.25,1.7821,2.2728,2.5898
831.18,1.7912,2.29,2.6076
833.11,1.8004,2.3073,2.6256
835.04,1.8097,2.3248,2.644
836.97,1.819,2.3425,2.6626
838.9,1.8284,2.3605,2.6815
840.82,1.8379,2.3787,2.7007
842.75,1.8474,2.3972,2.7203
844.68,1.8571,2.416,2.7402
846.61,1.8669,2.4352,2.7606
848.54,1.8768,2.4548,2.7814
850.47,1.8868,2.4748,2.8026
852.4,1.8971,2.4953,2.8243
854.32,1.9075,2.5163,2.8466
856.25,1.9181,2.5378,2.8694
858.18,1.9289,2.5598,2.8928
860.11,1.9399,2.5825,2.9169
862.04,1.9512,2.6059,2.9416
863.97,1.9627,2.6299,2.9671
865.9,1.9745,2.6548,2.9933
867.82,1.9867,2.6804,3.0203
869.75,1.9991,2.707,3.0482
871.68,2.0119,2.7344,3.077
873.61,2.0251,2.7629,3.1067
875.54,2.0387,2.7923,3.1375
877.47,2.0527,2.8229,3.1692
879.39,2.0672,2.8547,3.202
881.32,2.0822,2.8876,3.2358
883.25,2.0978,2.9217,3.2706
885.18,2.1138,2.9571,3.3065
887.11,2.1305,2.9936,3.3432
889.04,2.1478,3.0312,3.3807
890.97,2.1658,3.0697,3.4187
892.89,2.1844,3.1089,3.4568
894.82,2.2037,3.1481,3.4947
896.75,2.2238,3.1867,3.5316
898.68,2.2444,3.2235,3.5668
900.61,2.2657,3.257,3.5993
902.54,2.2875,3.285,3.628
904.47,2.3097,3.3049,3.6516
906.39,2.3319,3.314,3.6684
908.32,2.3536,3.3099,3.6768
910.25,2.3744,3.2907,3.6755
912.18,2.3932,3.256,3.6646
914.11,2.409,3.2066,3.6463
916.04,2.4202,3.1451,3.6251
917.96,2.4251,3.0755,3.6069
919.89,2.4226,3.0029,3.5976
921.82,2.4123,2.9319,3.6007
923.75,2.3952,2.8648,3.6168
925.68,2.374,2.8008,3.6437
927.61,2.3519,2.7368,3.6769
929.54,2.3315,2.6697,3.7104
931.46,2.3137,2.5982,3.7364
933.39,2.2983,2.5236,3.7453
935.32,2.2844,2.448,3.7263
937.25,2.271,2.3739,3.6701
939.18,2.2576,2.3019,3.5721
941.11,2.2446,2.2317,3.4371
943.04,2.2321,2.1621,3.2799
944.96,2.2197,2.0926,3.1208
946.89,2.2061,2.0239,2.9793
948.82,2.1891,1.9588,2.8677
950.75,2.1658,1.9011,2.7894
952.68,2.1342,1.8552,2.7406
954.61,2.0941,1.8233,2.7129
956.53,2.0479,1.8051,2.6963
958.46,2.0001,1.797,2.6812
960.39,1.9554,1.794,2.6611
962.32,1.9167,1.7908,2.6335
964.25,1.8847,1.7842,2.5988
966.18,1.8578,1.773,2.5585
968.11,1.8336,1.7583,2.5142
970.03,1.8101,1.7416,2.4664
971.96,1.7858,1.7245,2.415
973.89,1.7599,1.7079,2.3594
975.82,1.7323,1.6917,2.2993
977.75,1.7035,1.6751,2.2349
979.68,1.6738,1.6566,2.1671
981.61,1.6439,1.6345,2.0972
983.53,1.6144,1.6073,2.0267
985.46,1.5858,1.574,1.9573
987.39,1.5586,1.5341,1.8906
989.32,1.5333,1.4884,1.8279
991.25,1.51,1.4381,1.7704
993.18,1.4886,1.3851,1.7189
995.1,1.469,1.3312,1.6742
997.03,1.4511,1.278,1.6368
998.96,1.4346,1.2265,1.6067
1000.9,1.4195,1.1773,1.5841
1002.8,1.4056,1.1307,1.5683
1004.7,1.3929,1.0871,1.5589
1006.7,1.3813,1.0463,1.555
1008.6,1.3704,1.0086,1.556
1010.5,1.36,0.97381,1.5611
1012.5,1.3496,0.94185,1.5695
1014.4,1.3393,0.91256,1.5805
1016.3,1.3289,0.88581,1.5926
1018.2,1.3191,0.86142,1.6046
1020.2,1.3103,0.83928,1.6147
1022.1,1.3032,0.81924,1.6212
1024,1.2985,0.8012,1.6228
1026,1.2967,0.78506,1.6181
1027.9,1.298,0.77076,1.6067
1029.8,1.3026,0.75821,1.5884
1031.7,1.3104,0.74737,1.5635
1033.7,1.3213,0.73819,1.5328
1035.6,1.335,0.73063,1.4973
1037.5,1.3514,0.72467,1.4584
1039.5,1.3701,0.72028,1.4174
1041.4,1.3909,0.71743,1.3758
1043.3,1.4133,0.71612,1.3349
1045.2,1.4373,0.71631,1.2957
1047.2,1.4625,0.71798,1.2592
1049.1,1.4886,0.72111,1.2261
1051,1.5154,0.72565,1.1969
1053,1.5427,0.73153,1.1721
1054.9,1.5702,0.73869,1.1519
1056.8,1.5977,0.74702,1.1364
1058.7,1.6249,0.7564,1.1259
1060.7,1.6515,0.7667,1.1202
1062.6,1.6771,0.77777,1.1193
1064.5,1.7015,0.78945,1.123
1066.5,1.724,0.8016,1.1309
1068.4,1.7442,0.81407,1.1427
1070.3,1.7615,0.82679,1.1577
1072.2,1.775,0.83968,1.1751
1074.2,1.7841,0.85268,1.1939
1076.1,1.7878,0.86578,1.2132
1078,1.7852,0.87897,1.2317
1080,1.7753,0.89223,1.2481
1081.9,1.7572,0.90555,1.2614
1083.8,1.7307,0.91889,1.27
1085.7,1.6957,0.93224,1.2725
1087.7,1.6535,0.94558,1.2672
1089.6,1.605,0.95893,1.2533
1091.5,1.5509,0.97225,1.2312
1093.5,1.4911,0.98557,1.2029
1095.4,1.4264,0.99887,1.1703
1097.3,1.3582,1.0121,1.135
1099.2,1.2882,1.0253,1.0986
1101.2,1.2181,1.0385,1.062
1103.1,1.1495,1.0514,1.0263
1105,1.0836,1.0642,0.99214
1107,1.0214,1.0767,0.95992
1108.9,0.96332,1.0888,0.92996
1110.8,0.90968,1.1005,0.90247
1112.7,0.86046,1.1117,0.87746
1114.7,0.8156,1.1224,0.85491
1116.6,0.77484,1.1326,0.83466
1118.5,0.73796,1.1423,0.81653
1120.5,0.70465,1.1515,0.8002
1122.4,0.67464,1.1604,0.78536
1124.3,0.64763,1.1691,0.77163
1126.2,0.62338,1.1777,0.75876
1128.2,0.60164,1.186,0.74668
1130.1,0.58221,1.1937,0.73555
1132,0.56489,1.2002,0.72563
1134,0.54953,1.2052,0.71722
1135.9,0.53597,1.2084,0.71051
1137.8,0.52411,1.2094,0.7056
1139.7,0.51385,1.2082,0.7025
1141.7,0.5051,1.2049,0.70118
1143.6,0.49781,1.1994,0.70154
1145.5,0.49191,1.1919,0.70348
1147.5,0.48736,1.1825,0.70685
1149.4,0.48409,1.1715,0.71152
1151.3,0.48203,1.1592,0.71731
